id,Supervisor,Type,Theme,Keywords,Title,"Last edited/added",Description
3058,"Vermot, Julien","Lab based","Biomechanics and mechanobiology","application - blood flow","Four dimensional modelling and segmentation of the trabeculations of the embryonic zebrafish heart","2025-05-19 14:41:58","Mechanical forces are fundamental to cardiovascular development and physiology. The interactions between mechanical forces and endothelial cells are mediated by mechanotransduction feedback loops. We are interested in understanding how hemodynamic forces modulate cardiovascular function and morphogenesis with a specific focus on cardiac valves. This project is aiming at developing tools enabling to study the impact of blood flow in the process of cardiac trabeculation. The student will use 3D modelling tools to quantify forces in the process on trabeculation based on live imaging datasets of the heart generated in the lab."
3059,"Vermot, Julien","Lab based","Biomechanics and mechanobiology","application - blood flow","Fluid mechanics and forces in the developing heart","2025-05-19 14:41:58","Mechanical forces are fundamental to cardiovascular development and physiology. The interactions between mechanical forces and endothelial cells are mediated by mechanotransduction feedback loops. We are interested in understanding how hemodynamic forces modulate cardiovascular function and morphogenesis with a specific focus on cardiac valves. Overall, our recent work is unraveling the biological links between mechanical forces, mechanotransduction and endothelial cell responses. Understanding the distribution of the mechanical forces in the beating heart is essential to understanding how altered, pathological myocardial function and mechanotransduction can impact heart valve development and physiology. For this project, we will combine live imaging with mathematical modeling to provide a quantitative map of cardiac force distribution and offer insight into how forces affect valve development using zebrafish as a model organism. Predicting endocardial forces associated with the heartbeat and linking the effect of forces with specific valve defects in models of cardiomyopathies. Tissue mechanics lead to mechanical stimuli at the cellular level. EdCs are exposed to two main types of forces: flow-induced shear stress and cell-cell tension. Hindering the progress of research in this field is the lack of robust methods to quantify mechanical forces in such a dynamic and complex 3D architecture as that of the heart. To bypass these difficulties, we developed an approach combining in vivo imaging and numerical methods in two steps: (1) live imaging to resolve tissue deformation (strain) in 3D and extract blood flow velocity profiles in 2D, (2) Mathematical modelling of blood flow to mechanical forces in 3D and to cross-validate the in vivo measurements. We will characterize endocardial deformation by imaging the fluorescently labelled endocardium at high temporal resolution. The 3D blood flow patterns, together with an estimate of cell-cell tension, will also be estimated by advanced computational fluid dynamics tools such as ANSYS or COMSOL. The student will work between the Vermot lab (in vivo data) and Moore lab (modelling). Data collection will be performed using confocal microscopy on live samples. The student will be involved in the sample preparation, 3D + time data acquisition and analysis. "
3066,"Lee, Chiu Fan","Lab based","Computational and theoretical modelling","Techniques / technologies - Modelling - mathematical","Deep learning and renormalisation group","2025-05-19 14:41:24","Deep learning is a type of machine learning algorithms that has been applied to diverse problems in the past decade. A surprising connection between deep learning and renormalization group, a conceptual framework originated from physics in the 70s, has recently been uncovered. This project will study this connection mathematical, and illustrate the relationship concretely using numerical methods. "
3069,"Carhart-Harris, Robin ","Lab based","Computational and theoretical modelling",,"Benchmarking brain entropy estimation techniques","2025-05-19 14:42:33","The Entropic Brain Hypothesis (EBH) [1], [2] is a simple yet powerful theory which posits that the rich altered state of consciousness experienced under psychedelics depends on a parallel enriching effect on the dynamics of spontaneous population-level neuronal activity. Importantly, the hypothesis that increased brain entropy rate corresponds to states of enriched experience has been robustly supported by neuroimaging research. In effect, recent research has shown that altered states such as psychedelics [3], [4], meditation [5], and states of flow associated with musical improvisation reliably exhibit higher brain entropy rate. Conversely, states such as deep sleep, general anaesthesia, and loss of consciousness have consistently shown reduced brain entropy rate [6], [7].
Estimating brain entropy rate accurately is important to psychedelic research, as the therapeutic mechanisms of psychedelics are thought to depend on their acute entropy enhancing effect - potentially reflecting a window of opportunity (and plasticity) mediating therapeutic change [8], [9]. Todays more popular method to estimate brain entropy rate is via the Lempel-Ziv (LZ) algorithm [2]. However, this algorithm has a number of shortcomings: (1) its results are not comparable between subjects, (2) it requires long window lengths in order to provide accurate estimations, and (3) it doesnt have principled ways to decompose the effects of different frequency bands. Alternative algorithms to estimate the entropy rate exist, including Context Tree Weighting and autoregressive methods. However, no systematic study has been made over neuroimaging data from experiments with psychedelic drugs to compare their performance.
The students objective is to benchmark quantitatively existing estimators of entropy rate in the context of neuroscience and their application in EEG, MEG, and fMRI signals. The main goal will be to identify which algorithm enables a better classification between condition across various datasets, and which algorithm enables better predictions of the corresponding subjective reports associated with these datasets. Additionally, there will be space for the student to use insights from existent estimators to design new tools to estimate brain entropy rate.
 
BIBLIOGRAPHY:
[1]   	R. L. Carhart-Harris et al., The entropic brain: A theory of conscious states informed by neuroimaging research with psychedelic drugs, Front. Hum. Neurosci., vol. 8, no. 1 FEB, pp. 122, 2014, doi: 10.3389/fnhum.2014.00020.
[2]   	R. L. Carhart-Harris, The entropic brain - revisited, Neuropharmacology, vol. 142, pp. 167178, 2018, doi: 10.1016/j.neuropharm.2018.03.010.
[3]   	M. M. Schartner, R. L. Carhart-Harris, A. B. Barrett, A. K. Seth, and S. D. Muthukumaraswamy, Increased spontaneous MEG signal diversity for psychoactive doses of ketamine, LSD and psilocybin, Sci. Rep., vol. 7, no. March, pp. 112, 2017, doi: 10.1038/srep46421.
"
3139,"Ladame, Sylvain","Lab based","Biomedical sensing diagnostics and imaging,Medical devices,Molecular and cellular bioengineering","application - nanotechnology,application - sensing / monitoring,medical devices - chemical sensors,medical devices - diagnostic,Techniques / technologies - Experiment - chemical","Selective capturing and detection of circulating cell-free nucleic acid from bodily fluids using nanoparticles and magnetic microbeads","2025-05-19 14:42:41","Circulating cell-free nucleic acids recently emerged as clinically useful, minimally invasive tools. Among them, microRNAs (miRNAs), non-coding RNAs 19-25 nucleotides in length, are frequently found to be dysregulated in cancer patients. Their potential to inform about disease processes combined with miRNAs’ stability and accessibility in liquid biopsies make them ideal biomarkers, but miRNAs are challenging to detect accurately, and the relative abundance and form in which they exist in blood are two critical remaining questions, due to lack of suitable analytical tools.
In this project, you will develop a range of magnetic beads and chemically functionalise them with peptide nucleic acid (PNA) or DNA hybridisation probes for fishing out specific nucleic acid biomarkers (single-stranded microRNAs or doubles-stranded DNA) from various types of bodily fluids. Strategies will also be developed for optimising the detection of detection of the captured biomarkers either on beads on in solution once released from the beads."
3141,"Ladame, Sylvain","Lab based","Molecular and cellular bioengineering","application - molecular,body region / organ - brain,disease - neurological,Techniques / technologies - Experiment - chemical","Engineering dextran-melatonin conjugates for spatiotemporal release of melatonin across the blood-brain-barrier (BBB)","2025-05-19 14:42:41","This organic chemistry project will involve the synthesis of various dextran-small molecule complexes (through covalent attachment) that are impermeable to the BBB and can only be released upon localised opening of the BBB (e.g. through use of focused ultrasound) where the drug is intended to be delivered (e.g., a stroke area). As a model system, a series of dextran-melatonin conjugates will be synthesised and kinetic studies of the slow release of melatonin will be investigated.
Please be aware that this project will NOT involve the testing of US-mediated release across the BBB."
3142,"Ladame, Sylvain","Lab based","Biomedical sensing diagnostics and imaging,Molecular and cellular bioengineering","application - nanotechnology,application - sensing / monitoring,disease - cancer,medical devices - biosensors,Techniques / technologies - Experiment - chemical","Engineered liposomes for ultrasensitive detection of miRNA biomarkers from liquid biopsies","2025-05-19 14:42:41","Circulating cell-free nucleic acids (cfNAs) have recently emerged as clinically useful and minimally invasive diagnostic tools. Among them, microRNAs (or miRNAs), a class of non-coding RNAs of 19-25 nucleotides in length, are frequently found to be up-regulated or down-regulated in tumours compared to normal tissues. The correlation between miRNA expression profiles and specific pathologies combined with miRNAs’ remarkable stability and minimally invasive accessibility in patient samples (e.g. in blood) make them ideal biomarkers for minimally invasive diagnosis at the point-of-care.
In this project, you will be developing a paper-based lateral flow assay for the detection of miRNA biomarkers using engineered liposomes functionalised with sequence-specific peptide nucleic acid (or PNA) hybridisation probes and loaded with fluorescent dye for ultrasensitive detection of miRNAs with very low natural abundance."
3146,"Ledesma, Rodrigo","Lab based","Molecular and cellular bioengineering","application - synthetic biology","Engineerig yeast to prouce colorants (I): Overexpressing an heterologous pathway for sustainable biotechnology","2025-05-19 14:42:37","In this project, the organism Yarrowia lipolytica will be engineered using cutting-edge synthetic biology tools to produce colourants in order to move away from petroleum-based chemistry and allow a more sustainable and eco-friendly industrial bioproduction. 

Please contact r.ledesma-amarao@imperial.ac.uk for further information"
3147,"Ledesma, Rodrigo","Lab based","Molecular and cellular bioengineering","application - synthetic biology","Engineering yeast to produce colorants (II): engineering the metabolic network to channel fluxes towards the compound of interest","2025-05-19 14:42:37","In this project, the organism Yarrowia lipolytica will be engineered using cutting-edge synthetic biology tools to produce colourants in order to move away from petroleum-based chemistry and allow a more sustainable and eco-friendly industrial bioproduction. 

Please contact r.ledesma-amarao@imperial.ac.uk for further information"
3149,"Foust, Amanda","Desk based","Biomedical sensing diagnostics and imaging,Molecular and cellular bioengineering,Neurotechnology and robotics","application - neurotechnology,body region / organ - brain,system - neuro,Techniques / technologies - Experiment - software engineering,Techniques / technologies - Modelling - machine learning","Deep Learning Denoising for Maximum Sensitivy Light-field Voltage Imaging","2025-06-05 14:26:51","Imaging the membrane voltage of living cells is challenging due to the small size of the rapidly changing signals. For many imaging configurations, we consider that “shot” or Poisson noise, due to variations in photons captured on a finite-area detector, sets the limit on the smallest size of signals that can be resolved.  But this may not be the whole story.  In fact, while signals of interest are structured in time, shot noise causes random intensity variation over time.  To exploit this difference, you will adapt and optimise DeepInterpolation, Support and other deep learning denoising algorithms to extract membrane voltage signals from neuronal light-field image series.  The goal is to detect membrane voltage activity that would otherwise be lost in the noise.  The project aims can be adapted to your specific interests and the skills that you would like to acquire and refine. 

If you are interested in this project and have questions please attend one of two hybrid (RSM 4.05 in persion + Teams) information sessions on:
* Thursday June 12th from 15:30-16:00 
(https://teams.microsoft.com/l/meetup-join/19%3ameeting_YjBhODk5ZTUtYzM3NS00ODdmLWE5ZTktMWM2NzMyNzJkNmQw%40thread.v2/0?context=%7b%22Tid%22%3a%222b897507-ee8c-4575-830b-4f8267c3d307%22%2c%22Oid%22%3a%229830bb4c-b5ca-4709-ba7e-4245f6595021%22%7d)
OR 
* Friday June 20th from 10:30-11:00 
(https://teams.microsoft.com/l/meetup-join/19%3ameeting_OWRhOTJhMjItM2E1ZC00Mjg3LWE5MzEtMDcyZTk0NjcyMTBi%40thread.v2/0?context=%7b%22Tid%22%3a%222b897507-ee8c-4575-830b-4f8267c3d307%22%2c%22Oid%22%3a%229830bb4c-b5ca-4709-ba7e-4245f6595021%22%7d)

"
3151,"Foust, Amanda","Desk based","Biomedical sensing diagnostics and imaging,Molecular and cellular bioengineering,Neurotechnology and robotics","application - imaging,disease - cancer,Techniques / technologies - Design - electronics,Techniques / technologies - Imaging - microscopy,Techniques / technologies - Modelling - computational","An Optical Oscilloscope: Real-time segmentation and display of cancer membrane voltage image series","2025-06-05 14:28:36","This project is motivated by the recent discovery that some cancer cells, especially aggressive ones, vary their membrane voltage across time. You will develop an image acquisition platform that displays variations in cancer membrane voltage at the cellular level in real-time.  Your software will trigger image acquisition, find the locations of the cells in the captured image (segmentation), and append and display the intensity of each target onto a running “optical oscilloscope” trace. PyImageJ is recommended but not mandatory if you prefer other software/hardware(FPGA anyone?).  

The project aims can be adapted to your specific interests and the skills that you would like to acquire and refine. 

If you are interested in this project and have questions please attend one of two hybrid (RSM 4.05 in persion + Teams) information sessions on:
* Thursday June 12th from 15:30-16:00 
(https://teams.microsoft.com/l/meetup-join/19%3ameeting_YjBhODk5ZTUtYzM3NS00ODdmLWE5ZTktMWM2NzMyNzJkNmQw%40thread.v2/0?context=%7b%22Tid%22%3a%222b897507-ee8c-4575-830b-4f8267c3d307%22%2c%22Oid%22%3a%229830bb4c-b5ca-4709-ba7e-4245f6595021%22%7d)
OR 
* Friday June 20th from 10:30-11:00 
(https://teams.microsoft.com/l/meetup-join/19%3ameeting_OWRhOTJhMjItM2E1ZC00Mjg3LWE5MzEtMDcyZTk0NjcyMTBi%40thread.v2/0?context=%7b%22Tid%22%3a%222b897507-ee8c-4575-830b-4f8267c3d307%22%2c%22Oid%22%3a%229830bb4c-b5ca-4709-ba7e-4245f6595021%22%7d)"
3159,"Rowlands, Christopher","Lab based","Medical devices,Molecular and cellular bioengineering,Neurotechnology and robotics","application - blood flow,application - cellular,application - computer vision,application - developmental,application - imaging,application - molecular,application - nanotechnology,application - neurotechnology,application - sensing / monitoring,application - synthetic biology,application - tissue,body region / organ - biofluids,body region / organ - brain,body region / organ - ear,body region / organ - eye,body region / organ - heart,body region / organ - liver,body region / organ - skin,disease - auditory,disease - cancer,disease - cardiovascular,disease - infection,disease - injury,disease - neurodegenration,disease - neurological,disease - ocular,disease - trauma,medical devices - chemical sensors,medical devices - diagnostic,medical devices - MEMS,medical devices - monitoring,system - auditory,system - cardiovascular,system - immune,system - lymphatic,system - neuro,system - ocular,system - respiratory,Techniques / technologies - Control - robotics,Techniques / technologies - Design - CAD,Techniques / technologies - Design - electronics,Techniques / technologies - Experiment - chemical,Techniques / technologies - Experiment - mechanical testing,Techniques / technologies - Experiment - optical / photonics,Techniques / technologies - Experiment - other,Techniques / technologies - Experiment - software engineering,Techniques / technologies - Imaging - microscopy,Techniques / technologies - Modelling - computational,Techniques / technologies - Modelling - mathematical","Making a true 3D camera","2025-05-19 14:41:23","When it comes to microscopes, there are no shortage of approaches to imaging a 3D sample: multiphoton microscopy, light-sheet microscopy, confocal and so on. What is notable about these techniques however is that they work by imaging a volume one plane at a time, and thus aren't really imaging in 'true' 3D. This project will change all that, as the student will be working on a system that can really image a volume (animal heart, brain, cancer organoid, tissue sample etc.) in 3D.

The system itself is based on a design called a Framing Camera. This uses a mirror to reflect light to a number of cameras, each of which can see a different plane in the sample. The student in this project will be constructing the prototype of this system, which will involve assembling the cameras and the optical system, programming the mirrors, and ultimately building the world's first true 3D microscope.

The ideal student for this project will have a good background in mechanical, electronic or software engineering, and a keen interest in picking up new skills. He or she will be ambitious and self-motivated, and a quick learner. There is no specific requirement on skills as these can all be taught."
3168,"Almquist, Ben","Lab based","Regenerative medicine and biomaterials","application - developmental,application - nanotechnology","Bio/micro/nanoengineering of advanced building materials","2025-05-19 14:41:13","Lime plaster has been used as a building material since ancient times, providing benefits such as improved flexibility and breathability over modern gypsum-based plasters. Recently, there has been an interest in developing modern varients of traditional plasters to improve the breathability, insulation qualities, and decrease setting times from months to weeks. 

This project aims to explore how biomaterials and micro/nanomaterials can be used to improve the properties of lime plaster, creating a modern version of this historic building material that can be used as an innovative alternative in applications ranging from historic restorations and modern eco-focused projects. "
3170,"Higgins, Claire","Lab based","Computational and theoretical modelling,Regenerative medicine and biomaterials","application - regenerative medicine,body region / organ - skin,Techniques / technologies - Modelling - computational","Single cell analysis of keloid scars","2025-06-05 11:48:38","Keloids are a distinct type of scar in which matrix continues to be deposited at and around the original wound site, forming large, raised scars that encompass both the injury and surrounding previously healthy tissue. Keloids are more prevalent in people of African and Asian descent and frequently comorbid with atopic dermatitis. In addition to the abnormal appearance of keloids, patients report significant itch at the periphery of the keloid or in surrounding non-keloid tissue while they report significant pain near or at the centre of the keloid. In this project we want to better understand the allodynia and allokinesis associated with keloids.
There are currently 6 single cell datasets on keloids that are publicly available . In this project, the student will use a combination of Seurat and CellChat R packages http://www.cellchat.org/ to analyse this data and identify both the prominent and latent pathways central to keloid pathogenesis.  We have several keloid tissues in the -80C freezer that can then be used for validating any findings by antibody staining and confocal microscopy."
3172,"Masouros, Spyros","Desk based","Biomechanics and mechanobiology,Medical devices","body region / organ - spine,medical devices - implants,Techniques / technologies - Experiment - mechanical testing,Techniques / technologies - Modelling - computational,Techniques / technologies - Modelling - FEA","Digital twins - a finite element model suite for spinal implant R&D","2025-06-05 16:58:00","This project will be using finite-element analysis. Having taken BACSA (Biomedical and computational stress analysis) will be essential especially if there is no prior exposure to finite-element analysis.

Interbody fusion is a common procedure used to treat a variety of spine pathologies.  There are a number of surgical approaches to this, often using spinal fusion cages.  Pre-clinical mechanical performance testing is vital for the development and subsequent regulatory approval of such devices and are used to compare the device with others on the market.  We have developed standards testing capability in the he SIr Michael Uren BME Hub (White City Campus) of spinal fusion cages for regulatory approval.  The objective of this project is to develop FE models of these standards tests and validate them using experimental data from the lab (or, if there is time, experimental data that you will generate)."
3177,"Boutelle, Martyn","Lab based","Biomedical sensing diagnostics and imaging,Computational and theoretical modelling,Medical devices,Molecular and cellular bioengineering","application - molecular,application - sensing / monitoring,body region / organ - biofluids,medical devices - biosensors,medical devices - chemical sensors,medical devices - wearables,Techniques / technologies - Experiment - microfluidics,Techniques / technologies - Modelling - FEA","Medical biosensors for human tissue with integrated calibration microfluidics","2025-05-19 14:42:06","We have been designing a new class of biosensor for use in human tissue in a project in collaboration with the Stevens group and Paulina anekeve (MIT) In addition to micro electrode sensing elements these devices also incorporate microfluidic channels to allow (a) in tissue calibration (b) local administration of stimulating or blocking chemicals to the tissue (see reference at end for idea from a proof of concept device). This project takes these idea to develop the device  concept further, establishing new methods of operation in tissue, and new device forms for different types of tissue or organ monitoring.

There is also the potential within this project for another  student who is interested in modelling to use FEA of the concentration profiles of these devices to optimise designs. 

The project will be supported by the MGB group including PDRA Dr Sally Gowers 

paper:Booth MA, Gowers SAN, Hersey M, Samper IC, Park S, Anikeeva P, Hashemi P, Stevens MM, Boutelle MG. 2021. Fiber-Based Electrochemical Biosensors for Monitoring pH and Transient Neurometabolic Lactate. Analytical Chemistry 93: 6646-55
Selected as Journal Cover.
"
3180,"Boutelle, Martyn","Lab based","Biomedical sensing diagnostics and imaging,Medical devices,Molecular and cellular bioengineering","application - sensing / monitoring,body region / organ - biofluids,body region / organ - brain,medical devices - chemical sensors,medical devices - MEMS,system - neuro","Imaging ions in solution using an ISFET array ion concentration detector.","2025-05-19 14:42:06","We have developed in collaboration with Prof Pantellis Georgiou (EEE) a platform that can 'image' ion concentrations at the surface of a CMOS fabricated detector.  Each device has more than 2500 sensing pixels in an array (2 x2 mm total area). The surface of each pixel is effectively the gate of an FET transistor, so responds to the surface change. As manufactured such devices  are inherently selective to pH. However, if we coat with an ion selective polymer membrane we can make the pixels sensitive to the concentrations of different ions in in solution - making an Ion Selective Electrode (ISE).  Hence across an array we can detect the main ions present in physiological fluids or tissue extracellular fluids  - this is particularly useful when studying injury processes in the human brain or human kidney.

In this lab-based project you will learn how to use the ISFET array and then characterise the spatial selectivity of the device. This will involve using a new Bioplotter facility (BioDOT Omnia - https://www.biodot.com/technology ) just delivered to the department. You will use the device to precisely control when polymer is dispensed, then see how it responds to small additions of test sample.

the project will be supported by MGB Group PHD student Chiara Cicatiello

Referance about prototype device: 1.	Moser N, Leong CL, Hu Y, Cicatiello C, Gowers S, Boutelle M, Georgiou P. 2020. Complementary Metal–Oxide–Semiconductor Potentiometric Field-Effect Transistor Array Platform Using Sensor Learning for Multi-ion Imaging. Analytical Chemistry 92: 5276-85"
3206,"Burdet, Etienne","Lab based","Neurotechnology and robotics","Techniques / technologies - Experiment - human volunteers","Neural mechanisms of haptic communication","2025-05-19 14:41:30","From a parent helping their child learn to walk, to workers coordinating their movement carefully to move a piano, humans rely on physical interaction to perform tasks together. What are the underlying brain processes of this interaction? Can it be explained purely from sensorimotor dynamics, or can we identify a specific neural signature of social behaviour? While our previous studies have uncovered the mechanisms behind haptic communication (HC) from behavioural data, the underlying neural processes remain unclear. This project (for one or two students) will investigate neural processes of HC using kinematic data, gaze (to infer motion intention) and EEG activity (opening a window into related brain processes) during a joint tracking task.
 For additional information, please, contact Katja (e.ivanova17@imperial.ac.uk)."
3228,"Almquist, Ben","Lab based","Regenerative medicine and biomaterials","---,application - tissue,---,---,---,---,---,---,---,Techniques / technologies - Experiment - cell / tissue culture,---,---","Women's Health - In Vitro Investigation of endometriosis and the role of angiogenesis","2025-05-19 14:41:13","The female reproductive system is a crucial component of the female anatomy. In addition to enabling reproduction, it has wide ranging influence on tissues throughout the body via endocrine signalling. This intrinsic role in regulating normal female biology makes it susceptible to a variety of female-specific diseases. However, the complexity and human-specific features of the reproductive system make it challenging to study. This has spurred the development of human-relevant in vitro models for helping to decipher the complex issues that can affect the reproductive system, including endometriosis, infection, and cancer.

In this project, we want to understand the role that endometriosis can play in influencing angiogenesis, neurogenesis, and other biological processes using in vitro model systems.

https://www.sciencedirect.com/science/article/pii/S1742706121002695"
3230,"Drakakis, Manos","Lab based","Medical devices","body region / organ - brain,disease - neurological,medical devices - prosthetics,system - neuro,Techniques / technologies - Control - bionics,Techniques / technologies - Design - electronics","Investigation and implementation of novel artefact suppression methodologies in bidirectional electrophysiological interfaces.","2025-05-19 14:41:31","Deep Brain Stimulation involves both stimulating by means of strong pulses and recording very weak brain signals while stimulating. However, the strong stimulating pulses generate (stimulation) artefacts which contaminate or even destroy the recording of the weak signals. You will be involved in the design of innovative analogue, digital, or mixed-mode approaches for achieving real-time  artefact-free biopotential recording, directly from the stimulation site. Experimental testing results using different electrode arrays, along with head-to-head comparison results (with existing artefact elimination techniques) are expected to be delivered. The project is suitable for students who wish to master (micro)electronics by testing their ability to design and test very high-performance circuits. Publication possible.
"
3231,"Drakakis, Manos","Lab based","Medical devices","application - sensing / monitoring,application - sport,disease - cardiovascular,disease - neurological,medical devices - monitoring,medical devices - wearables,system - cardiovascular,system - neuro,Techniques / technologies - Control - bionics,Techniques / technologies - Design - CAD,Techniques / technologies - Design - electronics","Design and delivery of a miniaturised, wearable, and high channel-count biopotential acquisition device.","2025-05-19 14:41:31","You will be involved in the design of multichannel and high-performance prototype devices that have the potential to be used in a noisy clinical environment. Design trade-offs have to be taken into consideration and an optimal solution must be identified for the successful delivery of a noise-robust instrument that can provide low-noise recordings from multiple neuronal targets. You will gain experience of the full design cycle of a device and you will master PCB design. Such skills are snatched by well-paying companies/employers.
"
3232,"Drakakis, Manos","Lab based","Medical devices","application - rehabilitation,application - sensing / monitoring,body region / organ - brain,disease - neurological,medical devices - monitoring,medical devices - wearables,system - neuro,Techniques / technologies - Control - bionics","Design and delivery of a complete stimulation and recording system for DBS and SCS applications. (DBS=Deep Brain Stimulation; SCS=Spinal Cord Stimulation)
","2025-05-19 14:41:31","You will be involved in the design of a state-of-the-art instrument that aims at providing both stimulation and recording capabilities from neural targets within the human brain and spinal cord. Various artefact suppression methodologies that require timing indicators from the stimulator, along with their real-time capabilities, will be investigated.  A demanding project leading at the mastering of PCB design, stimulation topologies and recording limitations. A project suitable for ambitious candidates aiming at conducting research later or being employed in the field of medical devices. Do not take this project unless you enjoy the thrill and the challenge of producing a useful and robust instrument.
"
3234,"Drakakis, Manos","Lab based","Medical devices","application - sensing / monitoring,application - wearables,disease - neurological,disease - trauma,disease - wellbeing,medical devices - assistive devices,medical devices - wearables,Techniques / technologies - Design - CAD,Techniques / technologies - Design - electronics","Micro-instrument for Traumatic Brain Injury (TBI) Monitoring","2025-05-19 14:41:31","Design and realisation of a micro-instrument for the neuroelectrochemical monitoring of the injured human brain."
3245,"Tanaka, Reiko","Desk based","Computational and theoretical modelling,Medical devices","Techniques / technologies - Modelling - machine learning","Learning from noisy labels by EczemaNet","2025-05-19 14:42:38","Eczema is the most common form of skin disease. The eczema severity is currently assessed by trained clinical staff. However, the subjective nature of assessing these disease signs could be a source of significant inter and intra-observer variability.

Our group recently developed EczemaNet, a prototype novel computer vision pipeline for automated evaluation of eczema severity from camera images (Pan, Hurault et al. 2020). EczemaNet uses a CNN that first detects areas of AD from camera images and then makes probabilistic predictions of the severity of seven clinical signs of AD. EczemaNet was trained using the camera images with eczema severity scores provided by trained clinical staff. However, the severity scores may have inter-rater variability, resulting in noisy labels. 

This project aims to further improve EczemaNet by achieving a better generalisation capability in the presence of noisy labels.  The student is expected to review, implement, and validate the image analysis pipeline using off-the-shelf deep-learning and image analysis techniques and software packages to improve the prediction accuracy in the presence of noisy labels."
3253,"Macdonald, Warren","Lab based","Computational and theoretical modelling","application - imaging,body region / organ - heart,disease - cardiovascular,system - cardiovascular,Techniques / technologies - Imaging - ultrasound,Techniques / technologies - Modelling - computational","Automated Segmentation of ultrasound scans of the foetal heart and aorta","2025-05-19 14:42:53","Congenital heart disease often involves underdevelopment of the heart and vessels, which can then be insufficient for the work of delivering blood to the whole body. This can be especially true in premature babies (neonates), whose development time and environment have been compromised.
In cases of  Hypoplastic Left Heart Syndrome (HLHS), the left ventricle and aorta are undersized and under-developed, and surgical reconstruction is often undertaken to provide the patient with a ventricle of adequate size to deliver the pumping required, and a larger aorta is constructed.  
However, imaging these vulnerable babies (especially tiny neonates) is not without risk and therefore images and models of the aortic anatomy (normal and pathological) are not available. Surgical reconstruction must thus be based on estimates rather than known geometries.
Thirdly, it might be possible to draw together a cut down team to do a collaborative shortcut system funded as a Spinout, so a small independent enterprise. It might be possible to do this with Investment for Innovation through the NHS, or crowd-funded or something similar. Or alternatively, depending on the price of your current graft materials, we might be able to make it work on a small scale enterprise.

Aims of our interest/activity: (in order of their contribution to the project, and not importance)
1.	Shape library of neonatal/infant aortic morphology for planning of reconstructions and patch/graft shape and alignment. Gathered from existing scans (at Soton, ICL or London) or from specific imaging series – these are now available with Dr Yap Choon Hwai.
2.	Solid modelling of aortic morphology giving shape and material location/alignment; computer modelling of aortic deformation under flow loadings to identify localised vessel wall properties and strains; 3D printing of these computer models in elastomeric resins to enable validation of the models through realistic flow loading said 3D printed models; CAD extraction from these models of patch/graft shape and morphology to assist with patch preparation before surgery. This technique of unpeeling a complex 3D curved shape for creation of “nets” or construction directions has applications in other engineering projects including amputee prosthetic sockets
"
3258,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","medical devices - biosensors,medical devices - chemical sensors,medical devices - diagnostic,medical devices - monitoring,Techniques / technologies - Design - electronics,Techniques / technologies - Experiment - chemical","Biosensors for breath analysis","2025-05-19 14:41:28","Breath condensate can contain markers of inflammation such as hydrogen peroxide, nitric oxide and peroxynitrous acid.  These markers appear to rise in advance of asthmatic patients being aware of an impending crisis and could therefore have therapeutic uses in indicating when patients should take their medication.  In addition, Scheller's group have been able to detect lactic acid in breath condensate which correlates to some degree with blood lactate levels.

The collection of most biological samples is necessarily invasive and the high protein content interferes with-most analytical techniques, so if therapeutic or bioanalytically useful data can be obtained from breath condensate, this is an attractive proposition.

We propose a project for 1-2 students to design and build a portable instrument for collecting and analysing breath condensate and aerosols.  There are at least two parts: (i)sample collection and handling to ensure reproducible volumes and (ii) development of electrochemical sensors for analysing the samples and comparison with chromatographic analysis.  A very hands-on lab an workshop based project."
